363	Window=3	Metric=PAIRMAPPER	
i	j	Sig.	Class	Zij	Zi	Zj	Mod_Depth	Mod_Comuts	Unt_Depth	Unt_Comuts
45	304	130.97	1	3.51	0.33	6.69	2433670	535	249399	0
46	303	83.47	1	7.21	9.30	5.12	2455356	348	251387	3
49	65	37.39	1	3.98	2.98	4.99	2630915	211	258997	1
51	63	38.57	1	2.55	1.54	3.57	2608957	488	257047	17
108	135	7443.66	1	10.54	10.65	10.44	2339907	7657	239335	66
115	127	3025.04	1	9.92	11.26	8.59	2362868	2322	246762	6
138	179	77.47	1	2.15	1.45	2.85	2307422	1059	237478	23
141	176	191.15	1	10.08	9.15	11.00	2266299	527	235823	5
142	175	255.61	1	10.37	11.63	9.11	2309326	1580	241073	10
151	162	766.17	1	7.59	4.68	10.50	2204316	1439	239745	11
157	194	1160.73	1	5.99	4.60	7.38	2101961	1561	223509	6
159	192	703.75	1	4.76	4.41	5.11	2167271	815	231800	1
214	242	106.66	1	4.20	4.80	3.60	2244503	308	240876	11
250	279	99.02	1	3.33	3.28	3.38	2369987	541	243746	1
43	306	72.30	2	4.62	4.11	5.13	2322453	216	246526	1
44	305	121.38	2	4.76	1.64	7.89	2343080	439	245886	0
54	74	67.98	2	4.78	4.55	5.02	2461268	407	255449	8
56	75	232.33	2	8.61	14.19	3.03	2417527	2249	257683	6
87	96	5219.55	2	14.03	13.23	14.84	2017283	6681	253536	4
109	134	3662.45	2	8.09	5.33	10.84	2322477	5295	237155	7
110	133	4173.92	2	8.96	12.11	5.82	2336749	6854	240204	1
110	134	1748.66	2	5.12	5.07	5.17	2343272	3595	241130	3
111	132	2583.70	2	6.00	7.02	4.98	2425748	10244	249026	1
112	131	1681.32	2	5.93	5.91	5.95	2406318	8753	246052	2
113	129	309.23	2	3.49	0.59	6.39	2360974	3427	243619	19
138	167	33.96	2	2.32	0.63	4.01	2209335	841	238708	63
139	167	21.24	2	2.10	1.68	2.51	2209550	419	238621	47
139	168	25.51	2	2.55	2.02	3.08	2199084	242	238382	38
139	176	32.57	2	2.23	2.58	1.88	2306140	682	237123	7
140	167	34.27	2	3.49	2.94	4.05	2215749	514	240303	60
140	168	55.46	2	5.72	4.76	6.68	2205249	318	240139	46
141	167	27.67	2	2.30	1.33	3.27	2175879	242	237294	25
141	168	32.91	2	2.77	1.58	3.97	2166098	146	237157	20
142	177	79.69	2	2.74	3.63	1.84	2296446	570	239365	9
143	176	84.27	2	4.28	3.71	4.86	2274777	722	237642	9
146	162	118.36	2	2.59	3.55	1.62	2209918	397	240967	3
146	167	35.09	2	2.60	1.06	4.14	2189230	203	241580	15
151	167	44.46	2	2.76	0.27	5.25	2181583	523	240290	36
158	193	647.21	2	4.59	5.35	3.82	2182421	1175	233522	5
158	195	699.06	2	4.97	5.78	4.15	2185723	1299	233900	4
159	194	615.53	2	3.89	3.86	3.91	2148460	778	230088	1
211	246	117.59	2	2.66	4.95	0.37	2258533	13791	241334	70
243	252	76.79	2	3.04	2.33	3.74	2345734	403	242343	15
249	280	84.91	2	2.68	3.39	1.97	2387787	932	247007	9
251	259	118.12	2	2.91	4.73	1.09	2384841	743	242743	4
251	278	70.36	2	2.59	2.82	2.36	2351850	442	241137	5
252	277	91.09	2	3.54	4.44	2.65	2369754	416	244031	8
254	275	74.68	2	2.00	1.94	2.06	2364290	479	242385	5
258	274	185.97	2	2.72	1.54	3.90	2336516	1990	240521	17
259	270	669.77	2	6.97	6.13	7.81	2307968	2168	241929	19
262	278	71.91	2	2.21	2.00	2.41	2337983	889	240524	34
